"","Site","Treatment","Burn_year","PlotID","Lat","Lon","Elevation","Comment","SiteID","Year","2m_temperature","2m_temperature_SD","2m_temperature_UC","volumetric_soil_water_layer_1","volumetric_soil_water_layer_1_SD","volumetric_soil_water_layer_1_UC","total_precipitation","total_precipitation_SD","total_precipitation_UC"
"1","WAY","B",2007,1,-13.179917,-71.588118,3071.7,NA,"WAY_B_1",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"2","WAY","B",2007,2,-13.179978,-71.588188,3073.1,NA,"WAY_B_2",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"3","WAY","B",2007,3,-13.180036,-71.588263,3077.1,NA,"WAY_B_3",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"4","WAY","B",2007,4,-13.180092,-71.588355,3078.8,NA,"WAY_B_4",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"5","WAY","B",2007,5,-13.180092,-71.588355,3078.8,"used plot 4 coords, because it was missing","WAY_B_5",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"6","WAY","C",NA,1,-13.180406,-71.589709,3118,NA,"WAY_C_1",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"7","WAY","C",NA,2,-13.18043,-71.589752,3120.3,NA,"WAY_C_2",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"8","WAY","C",NA,3,-13.180457,-71.589806,3121,NA,"WAY_C_3",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"9","WAY","C",NA,4,-13.180527,-71.589873,3123.3,NA,"WAY_C_4",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"10","WAY","C",NA,5,-13.18058,-71.589928,3125,NA,"WAY_C_5",2018,284.741990952265,0.996428375081915,0.928742397508855,0.406538442368545,0.0111427155168383,0.029703833939571,0.38502017115908,0.201871271591178,0.140107728277049
"11","TRE","C",NA,1,-13.119746,-71.620771,3714.3,NA,"TRE_C_1",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"12","TRE","C",NA,2,-13.119733,-71.62081,3714.8,NA,"TRE_C_2",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"13","TRE","C",NA,3,-13.119713,-71.620874,3714.7,NA,"TRE_C_3",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"14","TRE","C",NA,4,-13.119695,-71.620927,3714.7,NA,"TRE_C_4",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"15","TRE","C",NA,5,-13.119707,-71.62093,3714.6,NA,"TRE_C_5",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
